"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"iscontroversial";"isfeatured";"istalk_page"
"53";"List_of_French_films_of_1956";"0.121323529411765";"17";"2";"33";"0.229007633587786";"4";"0";"0.53515625";"0";"2";"0.1875";"2.875";"0.520416499866533";"2.60448331408234";"0";"0";"0";"0";1
"54";"List_of_public_libraries_in_Los_Angeles_County,_California";"0.233333333333333";"6";"0";"7";"0.3";"2";"1";"0.32";"0";"3.5";"0.2";"1.8";"0.447213595499958";"1.30384048104053";"0";"2.12132034355964";"0";"0";1
"55";"List_of_television_programs._G";"0.55";"5";"0";"11";"0.375";"0";"0";"0.5625";"NaN";"NaN";"0";"3.5";"0";"3.1091263510296";NA;NA;"0";"0";1
"56";"Luzon_striped_rat";"0.0857142857142857";"21";"1";"36";"0.152284263959391";"2";"1";"0.4875";"0.0714285714285714";"1.5";"0.15";"2.5";"0.312555043487467";"1.27733274731701";"0.101015254455221";"0.707106781186548";"0";"0";1
"57";"Magma_(computer_algebra_system)";"0.118421052631579";"20";"4";"45";"0.342281879194631";"7";"0";"0.429362880886427";"3.64285714285714";"6";"1.47368421052632";"3.68421052631579";"4.75065400237614";"2.58312110050672";"7.66330153890544";"6.92820323027551";"0";"0";1
"58";"Marian_and_Holy_Trinity_columns";"0.333333333333333";"10";"0";"30";"0.428571428571429";"3";"0";"0.679012345679012";"1";"2.33333333333333";"1.11111111111111";"5";"1.69148192751537";"6.08276253029822";"1.73205080756888";"1.52752523165195";"0";"0";1
"59";"Mariana,_Spain";"0.0833333333333333";"25";"2";"50";"0.0964630225080386";"5";"4";"0.499131944444444";"0.225";"2.6";"0.416666666666667";"3.04166666666667";"1.43076953045393";"2.29326360696159";"0.434363758847351";"1.51657508881031";"0";"0";0
"60";"Marondera_District";"0.238095238095238";"7";"0";"10";"0.413793103448276";"0";"3";"0.305555555555556";"NaN";"NaN";"0.166666666666667";"2.5";"0.408248290463863";"1.7606816861659";NA;NA;"0";"0";1
"61";"Minister_of_the_Armed_Forces_(France)";"0.0545876887340302";"42";"10";"94";"0.154479917610711";"4";"1";"0.468768590124926";"0.25";"1.75";"1.19512195121951";"3.5609756097561";"3.57238102185526";"3.70168056757876";"0.5";"0.957427107756338";"0";"0";1
"62";"Mowtowr-e_Abdollah_Darvish_Mansh_Chah_Hasan";"0.333333333333333";"3";"0";"2";"0";"1";"1";"0.25";"0";"1";"0";"1";"0";"0";NA;NA;"0";"0";1
