"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"604";"Ghirlandajo";"0";"inscrit";"85575";"2004"
"605";"J04n";"0";"admin";"95923";"2008"
"607";"79.173.225.72";"1";"anonyme";"2";"2009"
"618";"DefaultsortBot";"0";"inscrit";"48995";"2009"
"619";"Rubinbot";"0";"inscrit";"43100";"2008"
"621";"MauritsBot";"0";"inscrit";"14490";"2008"
"622";"70.181.162.23";"1";"anonyme";"62";"2009"
"625";"MastiBot";"0";"inscrit";"62165";"2009"
"626";"SilvonenBot";"0";"inscrit";"41981";"2008"
"628";"Sofian_Rahmani";"0";"inscrit";"89";"2006"
"630";"85.230.125.185";"1";"anonyme";"1";"2009"
"636";"Inuit18";"0";"inscrit";"1157";"2009"
"642";"Mr.Historyian_xcel";"0";"inscrit";"28";"2009"
"643";"Hinio";"0";"inscrit";"1085";"2008"
"645";"Jaraalbe";"0";"inscrit";"105816";"2005"
"648";"Dimadick";"0";"inscrit";"354348";"2003"
"650";"Arahana~enwiki";"0";"inscrit";"24";"2010"
"651";"69.86.25.236";"1";"anonyme";"284";"2009"
"658";"79.70.51.28";"1";"anonyme";"7";"2009"
"666";"???_????";"0";"inscrit";NA;NA
"669";"DixonDBot";"0";"bot";"13058";"2009"
"671";"207.6.238.177";"1";"anonyme";"11";"2010"
"672";"Languagehat";"0";"inscrit";"4700";"2006"
"679";"208.54.5.77";"1";"anonyme";"21";"2009"
"689";"93.221.184.179";"1";"anonyme";"10";"2011"
"690";"193.255.97.41";"1";"anonyme";"11";"2008"
"692";"Jztinfinity";"0";"inscrit";"900";"2006"
"699";"TXiKiBoT";"0";"inscrit";"567654";"2007"
"700";"Citation_bot_1";"0";"bot";"130043";"2009"
"702";"75.48.8.190";"1";"anonyme";"38";"2008"
"705";"Mike_Rosoft";"0";"admin";"65450";"2004"
"708";"78.100.218.80";"1";"anonyme";"5";"2011"
"720";"Ahmed-Najib-Biabani-Ibrahimkhel";"0";"inscrit";"44";"2010"
"721";"Chyah";"0";"inscrit";"1398";"2010"
"722";"217.162.119.9";"1";"anonyme";"18";"2010"
"726";"Dms77";"0";"inscrit";"244";"2011"
"731";"Woohookitty";"0";"admin";"609786";"2004"
"733";"98.169.12.64";"1";"anonyme";"6";"2011"
"735";"Favonian";"0";"admin";"198393";"2008"
"737";"Mazdakabedi";"0";"inscrit";"1262";"2007"
"738";"ImageRemovalBot";"0";"bot";"315721";"2007"
"740";"Ksnow";"0";"inscrit";"204314";"2004"
"741";"Tabande";"0";"inscrit";"82";"2011"
"742";"Bokan995";"0";"inscrit";"406";"2011"
"743";"98.169.5.212";"1";"anonyme";"4";"2011"
"744";"Americophile";"0";"inscrit";"506";"2011"
"745";"FoxBot";"0";"inscrit";"56039";"2009"
"747";"Xooon";"0";"inscrit";"318";"2011"
"750";"RjwilmsiBot";"0";"bot";"1602950";"2009"
"751";"70.26.180.127";"1";"anonyme";"2";"2011"
"754";"Jeffersoun";"0";"inscrit";"34";"2011"
"756";"81.178.173.53";"1";"anonyme";"1";"2011"
"757";"Writer1390";"0";"inscrit";"31";"2011"
"759";"WereSpielChequers";"0";"admin";"180383";"2007"
"761";"182.185.85.236";"1";"anonyme";"2";"2011"
"768";"Khazar";"0";"inscrit";"29078";"2006"
"773";"BattyBot";"0";"bot";"963059";"2011"
"775";"193.255.108.20";"1";"anonyme";"1427";"2005"
"776";"84.208.197.98";"1";"anonyme";"327";"2010"
"793";"HerculeBot";"0";"inscrit";"9923";"2008"
"794";"2.26.184.32";"1";"anonyme";"1";"2012"
"797";"92.4.171.7";"1";"anonyme";"3";"2009"
"800";"81.178.166.227";"1";"anonyme";"1";"2012"
"801";"Editor1390";"0";"inscrit";"122";"2012"
"802";"88.109.1.175";"1";"anonyme";"1";"2012"
"803";"88.109.9.143";"1";"anonyme";"3";"2012"
"808";"Farshadrbn";"0";"inscrit";"173";"2003"
"809";"ZxxZxxZ";"0";"inscrit";"13498";"2010"
"832";"Class_Avesta";"0";"inscrit";"281";"2012"
"835";"TjBot";"0";"inscrit";"29118";"2009"
"836";"Sun_Creator";"0";"inscrit";"87768";"2007"
"852";"Lutfullah";"0";"inscrit";"504";"2006"
"854";"184.69.66.198";"1";"anonyme";"24";"2012"
"856";"EmausBot";"0";"bot";"1673441";"2009"
"858";"84.208.216.16";"1";"anonyme";"261";"2012"
"862";"Wario-Man";"0";"inscrit";"10863";"2012"
"866";"72.52.91.140";"1";"anonyme";"25";"2012"
"867";"Jeff_G.";"0";"inscrit";"97130";"2006"
"868";"Cplakidas";"0";"inscrit";"150238";"2005"
"888";"78.86.73.254";"1";"anonyme";"24";"2012"
"900";"Moe_Epsilon";"0";"inscrit";"116431";"2005"
"901";"SchreiberBike";"0";"inscrit";"172921";"2007"
"903";"Piruz_Pars";"0";"inscrit";"81";"2012"
"905";"GrouchoBot";"0";"inscrit";"146812";"2008"
"909";"Dont101";"0";"inscrit";"331";"2009"
"913";"72.194.211.32";"1";"anonyme";"1";"2013"
"915";"213.80.99.118";"1";"anonyme";"47";"2012"
"916";"Moosehadley";"0";"inscrit";"2973";"2008"
"917";"Ddreq21";"0";"inscrit";"2";"2013"
"1010";"AK456";"0";"inscrit";"4945";"2012"
"1012";"46.208.153.1";"1";"anonyme";"11";"2013"
"1018";"Legobot";"0";"bot";"964717";"2008"
"1020";"HistoryofIran";"0";"inscrit";"24993";"2013"
"1022";"Auric";"0";"inscrit";"88782";"2003"
"1026";"Danrok";"0";"inscrit";"13446";"2006"
"1054";"78.182.163.231";"1";"anonyme";"3";"2013"
"1062";"182.181.239.216";"1";"anonyme";"4";"2013"
"1070";"68.229.239.155";"1";"anonyme";"691";"2012"
"1079";"165.155.200.109";"1";"anonyme";"62";"2013"
"1080";"Discospinster";"0";"admin";"267651";"2004"
"1081";"MrNiceGuy1113";"0";"inscrit";"22205";"2012"
"1082";"79.46.129.66";"1";"anonyme";"1";"2014"
"1084";"Obiwankenobi";"0";"inscrit";"27991";"2006"
"1085";"80.241.81.150";"1";"anonyme";"36";"2014"
"1113";"MezzoMezzo";"0";"inscrit";"17948";"2006"
"1115";"78.147.209.137";"1";"anonyme";"20";"2014"
"1117";"89.241.176.58";"1";"anonyme";"9";"2014"
"1119";"Kansas_Bear";"0";"inscrit";"28052";"2006"
"1122";"Shahmehran";"0";"inscrit";"7";"2013"
"1126";"Marcocapelle";"0";"inscrit";"167291";"2011"
"1127";"151.244.86.198";"1";"anonyme";"1";"2014"
"1131";"Tty22";"0";"inscrit";"1";"2014"
"1137";"151.244.91.113";"1";"anonyme";"1";"2014"
