"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured"
"26";"Donga_Ramudu";"0.053475935828877";"34";"4";"60";"0.0147058823529412";"0";"1";"0.741046831955923";"NaN";"NaN";"19.8333333333333";"8.16666666666667";"37.9613040616442";"14.3959169295472";NA;NA;"7";"1.66666666666667";"1.85642874455655";"0";"0"
"27";"Dothan";"0.333333333333333";"3";"0";"2";"0";"1";"0";"0.25";"0";"1";"0.5";"1.5";"0.707106781186548";"0.707106781186548";NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"28";"Dysart_State_High_School";"0.0666666666666667";"16";"3";"16";"0";"2";"0";"0.391111111111111";"0";"1";"12.625";"3";"17.4268880920097";"4.07080195679286";"0";"0";"5";"1.125";"1.58640053790544";"0";"0"
"29";"Edwardsimemna";"0.25";"5";"0";"5";"0";"0";"0";"0.15625";"NaN";"NaN";"0.333333333333333";"2.66666666666667";"0.577350269189626";"0.577350269189626";NA;NA;"2";"0.8";"0.836660026534076";"0";"0"
"30";"Finger_Lickin'_Records";"0.1";"10";"2";"9";"0";"2";"0";"0.197530864197531";"0";"1";"4.4";"2.6";"4.97995983919549";"1.81659021245849";"0";"0";"2";"0.555555555555556";"0.726483157256779";"0";"0"
"31";"Flat-for-Sale_Scheme";"0.133333333333333";"6";"0";"4";"0";"1";"0";"0.08";"1";"2";"0.5";"1.5";"0.577350269189626";"0.577350269189626";NA;NA;"1";"0.5";"0.577350269189626";"0";"0"
"32";"Geez_(magazine)";"0.0612648221343874";"23";"3";"31";"0";"1";"0";"0.767561983471074";"0";"1";"8.27272727272727";"4.54545454545455";"12.6577320961609";"10.1129979369486";NA;NA;"7";"1.90322580645161";"2.15026880040113";"0";"0"
"33";"Gegham_Ter-Karapetian";"0.111111111111111";"9";"0";"8";"0";"1";"1";"0.15625";"0";"1";"5";"2";"3.74165738677394";"1";NA;NA;"6";"2.625";"2.26384628453435";"0";"0"
"34";"Glenadrienne";"0.5";"2";"0";"1";"NaN";"0";"0";"0";"NaN";"NaN";"0";"1";NA;NA;NA;NA;"0";"0";NA;"0";"0"
"35";"Glenn_W._Ferguson";"0.127272727272727";"11";"0";"14";"0";"2";"2";"0.08";"17.5";"3";"14.9";"2.7";"8.84998430632632";"1.15950180872841";"10.6066017177982";"1.4142135623731";"13";"6.5";"4.18330013267038";"0";"0"
"36";"Golden_Boy_(Nadav_Guedj_song)";"0.0428571428571429";"21";"6";"18";"0";"0";"1";"0.08625";"NaN";"NaN";"2.57142857142857";"2.07142857142857";"2.20887321481358";"0.997248963150875";NA;NA;"5";"1.5";"1.58113883008419";"0";"0"
"37";"Harbourton,_New_Jersey";"0.333333333333333";"4";"0";"4";"0";"0";"0";"0.444444444444444";"NaN";"NaN";"1";"2.33333333333333";"1.73205080756888";"1.52752523165195";NA;NA;"3";"1.5";"1.29099444873581";"0";"0"
"38";"HMS_Dalrymple_(K427)";"0.1";"10";"0";"9";"0";"1";"0";"0.259259259259259";"0";"1";"2.66666666666667";"2.33333333333333";"4.84424056655599";"1.96638416050035";NA;NA;"3";"0.888888888888889";"1.05409255338946";"0";"0"
"39";"Jeremy_Messersmith";"0.0579710144927536";"24";"4";"32";"0.0517241379310345";"1";"2";"0.189035916824197";"0";"1";"48.9473684210526";"3.10526315789474";"48.4142698020722";"2.74660875428642";NA;NA;"13";"4.625";"3.72220884820793";"0";"0"
"40";"Johannine_literature";"0.111111111111111";"10";"1";"10";"0";"1";"0";"0.308641975308642";"0";"1";"2.14285714285714";"2.42857142857143";"1.67616341969505";"2.07019667802706";NA;NA;"5";"1.8";"1.75119007154183";"0";"0"
"41";"John_Becker_(politician)";"0.166666666666667";"6";"0";"5";"0";"0";"0";"0.16";"NaN";"NaN";"4";"2";"2.82842712474619";"0.816496580927726";NA;NA;"3";"1.2";"1.30384048104053";"0";"0"
"42";"John_Frost_(cricketer)";"0.1";"10";"0";"9";"0";"1";"3";"0.135802469135802";"5";"2";"4.5";"2";"3.74165738677394";"0.925820099772551";NA;NA;"6";"2.44444444444444";"2.185812841434";"0";"0"
"43";"John_Quinn_(New_York_politician)";"0.0514705882352941";"17";"1";"14";"0";"1";"1";"0.078125";"2";"3";"1.33333333333333";"1.91666666666667";"1.49747261825525";"1.16450015288132";NA;NA;NA;NA;NA;"0";"0"
"44";"Juan_Abarca";"0.0892857142857143";"8";"1";"5";"0";"0";"1";"0.0612244897959184";"NaN";"NaN";"0.666666666666667";"1.33333333333333";"1.03279555898864";"0.516397779494322";NA;NA;NA;NA;NA;"0";"0"
"45";"Kapshagay_Hydroelectric_Power_Plant";"0.107142857142857";"8";"0";"6";"0";"0";"1";"0.0408163265306122";"NaN";"NaN";"3.33333333333333";"1.66666666666667";"2.73252020425589";"0.516397779494322";NA;NA;"4";"1.66666666666667";"1.63299316185545";"0";"0"
"46";"KiHa_E200";"0.1";"16";"1";"24";"0";"0";"0";"0.853333333333333";"NaN";"NaN";"5";"6.33333333333333";"9.2520268049763";"10.2306728354819";NA;NA;"8";"1.83333333333333";"2.42570772580179";"0";"0"
"47";"List_of_French_films_of_1956";"0.0984848484848485";"12";"0";"13";"0";"1";"0";"0.190082644628099";"2";"2";"3.375";"2.75";"3.66206421103103";"1.83225076262581";NA;NA;"4";"1.46153846153846";"1.33012434352235";"0";"0"
"48";"List_of_public_libraries_in_Los_Angeles_County,_California";"0.5";"2";"0";"1";"NaN";"1";"0";"0";"0";"1";"0";"1";NA;NA;NA;NA;"0";"0";NA;"0";"0"
"49";"List_of_television_programs._G";"0.304166666666667";"16";"0";"73";"0.04";"0";"0";"3.65777777777778";"NaN";"NaN";"11.5";"33.5";"13.7961347243833";"52.880368127816";NA;NA;"16";"4.26027397260274";"3.88739914931805";"0";"0"
"50";"Luzon_striped_rat";"0.1";"10";"0";"9";"0.333333333333333";"0";"0";"0.0740740740740741";"NaN";"NaN";"4.75";"2";"3.73210013646089";"0.534522483824849";NA;NA;"6";"2.44444444444444";"2.185812841434";"0";"0"
"51";"Magma_(computer_algebra_system)";"0.0462304409672831";"38";"6";"65";"0";"2";"3";"0.68809349890431";"5.5";"1.5";"14.5";"4.28571428571429";"22.5034976705269";"9.69481397394597";"7.77817459305202";"0.707106781186548";NA;NA;NA;"0";"0"
"52";"Marian_and_Holy_Trinity_columns";"0.0583333333333333";"25";"0";"35";"0.115384615384615";"3";"1";"0.329861111111111";"4.66666666666667";"1.33333333333333";"9.21052631578947";"3.36842105263158";"11.3753092625525";"4.15278388976452";"8.08290376865476";"0.577350269189626";"11";"3.88571428571429";"3.25189020662851";"0";"0"
"53";"Marondera_District";"0.25";"4";"0";"3";"0";"0";"1";"0.333333333333333";"NaN";"NaN";"1";"2";"1.4142135623731";"1.4142135623731";NA;NA;"1";"0.333333333333333";"0.577350269189626";"0";"0"
"54";"Minister_of_the_Armed_Forces_(France)";"0.0327635327635328";"27";"5";"23";"0";"0";"1";"0.0857988165680473";"NaN";"NaN";"2.6";"2.26666666666667";"3.43926902532667";"1.57963226582585";NA;NA;NA;NA;NA;"0";"0"
"55";"Mowtowr-e_Abdollah_Darvish_Mansh_Chah_Hasan";"0.333333333333333";"3";"0";"2";"0";"1";"1";"0.25";"0";"1";"0.5";"1.5";"0.707106781186548";"0.707106781186548";NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"56";"Nirman";"0.0361895488477767";"79";"10";"223";"0.0343417825020442";"2";"2";"1.54100920447074";"0";"1";"110.095238095238";"18.4761904761905";"253.475081572997";"52.0130935896136";"0";"0";"20";"3.01793721973094";"3.77278558111721";"0";"0"
"57";"Nivithigala_Divisional_Secretariat";"0.333333333333333";"4";"0";"4";"0";"0";"0";"0.222222222222222";"NaN";"NaN";"1";"3";"1.4142135623731";"0";NA;NA;"2";"0.75";"0.957427107756338";"0";"0"
"58";"Placebo_discography";"0.011364821186529";"139";"56";"218";"0.0338028169014084";"3";"0";"0.127231674018063";"27.3333333333333";"2.66666666666667";"283.111111111111";"3.75";"478.50937418592";"5.44492389861256";"47.3427220735493";"2.08166599946613";"45";"9.47247706422018";"10.8721804676703";"0";"0"
"59";"Pokhran-II";"0.00621435594886922";"226";"39";"316";"0.00978792822185971";"6";"5";"0.0986666666666667";"0";"1";"193.321428571429";"4.625";"326.40261930173";"7.73097781771608";"0";"0";NA;NA;NA;"0";"0"
"60";"Raul_Martins";"0.0777777777777778";"10";"0";"7";"0";"0";"1";"0.037037037037037";"NaN";"NaN";"1";"1.5";"1.0690449676497";"0.534522483824849";NA;NA;NA;NA;NA;"0";"0"
"61";"Ross_Overbeek";"0.0415384615384615";"26";"0";"27";"0";"1";"2";"0.144";"6";"2";"6.46666666666667";"2.86666666666667";"5.44933372947905";"2.2949219304078";NA;NA;"6";"1.37037037037037";"1.66752114847962";"0";"0"
"62";"San_Antonio_College";"0.0254083484573503";"58";"15";"84";"0.0420560747663551";"2";"2";"0.125884887657741";"0";"1";"78.15";"3.75";"88.1761042240207";"4.09345944848734";"0";"0";"14";"3.52380952380952";"3.47270316041987";"0";"0"
"63";"Sari_Gat_Hut_Gat_Bala";"1";"2";"0";"2";"NaN";"1";"0";"1";"0";"1";"0";"3";NA;NA;NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"64";"Scopula_yamanei";"0.5";"2";"0";"1";"NaN";"0";"0";"0";"NaN";"NaN";"0";"1";NA;NA;NA;NA;"0";"0";NA;"0";"0"
"65";"Serge_Karlow";"0.214285714285714";"7";"0";"9";"0";"0";"2";"0.138888888888889";"NaN";"NaN";"9.33333333333333";"2.83333333333333";"5.39135109844153";"0.983192080250175";NA;NA;"8";"4";"2.73861278752583";"0";"0"
"66";"Shabaka_Stone";"0.0310924369747899";"35";"1";"37";"0.0236220472440945";"0";"3";"0.27076124567474";"NaN";"NaN";"14.5";"3.16666666666667";"14.4802096182422";"4.28746462856272";NA;NA;"9";"1.64864864864865";"2.42917700073521";"0";"0"
"67";"Shining_Stars_Bless";"0.107142857142857";"8";"0";"6";"0";"0";"0";"0.122448979591837";"NaN";"NaN";"3.2";"1.8";"3.03315017762062";"0.836660026534076";NA;NA;"3";"1";"1.26491106406735";"0";"0"
"68";"Sidney_A._Marchand";"0.5";"7";"0";"21";"0";"0";"0";"2.91666666666667";"NaN";"NaN";"0";"36";NA;NA;NA;NA;"9";"2.61904761904762";"2.8368325730679";"0";"0"
"69";"Sitthichai_Sitsongpeenong";"0.143939393939394";"12";"1";"19";"0";"0";"0";"0.983471074380165";"NaN";"NaN";"2";"7.5";"4";"10.5039675043925";NA;NA;NA;NA;NA;"0";"0"
"70";"Super_Fight_League";"0.0185897435897436";"105";"34";"203";"0.0254237288135593";"1";"1";"0.31615199704142";"0";"1";"145.155172413793";"6.18965517241379";"218.774228069747";"10.5588690525303";NA;NA;"60";"11.7881773399015";"16.0558881006648";"0";"0"
"71";"Susie_Maroney";"0.0178571428571429";"64";"21";"72";"0";"5";"4";"0.135046611237087";"14.8";"1.2";"72.22";"2.6";"106.91428762312";"2.90671284991083";"33.0938060669969";"0.447213595499958";"18";"4.81944444444444";"4.84499564350707";"0";"0"
"72";"Sybra_sibuyana";"1";"2";"0";"2";"NaN";"0";"0";"1";"NaN";"NaN";"0";"3";NA;NA;NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"73";"Takumi_Miyayoshi";"0.0280487804878049";"41";"14";"46";"0.0416666666666667";"1";"0";"0.07375";"0";"1";"31.4";"3.04";"34.7410060303383";"2.11108187114253";NA;NA;"12";"2.84782608695652";"3.39913316599883";"0";"0"
"74";"The_Unifics";"0.04";"25";"6";"24";"0";"2";"2";"0.175347222222222";"0";"1";"10.6666666666667";"2.27777777777778";"11.9558009547913";"1.99427284567748";"0";"0";"6";"1.70833333333333";"1.68055805086252";"0";"0"
"75";"Vangelis_Kazan";"0.0909090909090909";"12";"1";"12";"0.1875";"1";"2";"0.0991735537190083";"0";"1";"10.125";"2.5";"9.53845599964391";"1.19522860933439";NA;NA;"8";"3";"2.95419578350399";"0";"0"
"76";"Walter_de_Hereford";"0.214285714285714";"7";"0";"9";"0";"1";"0";"0.916666666666667";"0";"1";"0.75";"3.75";"1.5";"5.5";NA;NA;NA;NA;NA;"0";"0"
"77";"Zero_Waste_SA";"0.45";"5";"0";"9";"0";"0";"0";"0.6875";"NaN";"NaN";"2.5";"4.25";"1.73205080756888";"2.62995563967658";NA;NA;"8";"4";"2.73861278752583";"0";"0"
"78";"Zitong_County";"0.0625";"16";"1";"15";"0";"0";"1";"0.111111111111111";"NaN";"NaN";"4.09090909090909";"2.27272727272727";"3.30013773817232";"1.00904995821903";NA;NA;"7";"2.26666666666667";"2.34419241856083";"0";"0"
