"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"nadded";"ndeleted";"nrestored";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured";"istalk_page"
"65";"Red_rail";"0.0358058608058608";"105";"17";"391";"0.0754747605908132";"11";"10";"1.02200443786982";"0.173908199643494";"4.27272727272727";"16.3557692307692";"6.06730769230769";"131.397610508443";"21.4051370402114";"0.412187740263142";"3.06890563852684";"-0.0832661470613375";"12";"6";"14";"73";"17.1764705882353";"5.71212121212121";"1.63636363636364";"2.63636363636364";"8.35294117647059";"8.82352941176471";"3.18181818181818";"2.53030303030303";"23.8333333333333";"11.6666666666667";"12.1666666666667";"2";"0.833333333333333";"1.16666666666667";"2.92857142857143";"0.857142857142857";"2.07142857142857";"6.06849315068493";"3.20547945205479";"2.86301369863014";"151";"217";"23";"52.2149826368324";"18.3912731407841";"2.01359019031814";"1.2862913567872";"23.3557840172156";"29.4517301998491";"18.5156142762797";"2.21338374419521";"61.664537227771";"27.4436060886961";"34.9332697200439";"0.632455532033676";"0.408248290463863";"0.408248290463863";"2.7863481949922";"1.29241234531773";"1.6391501416323";"17.5762851332913";"17.6272822825786";"2.4055206672081";"0";"0";1
"66";"Regents_of_the_University_of_California_v._Bakke";"0.5";"3";"0";"3";"1";"0";"1";"0";"NaN";"NaN";"0";"2";"0";"0";NA;NA;"-0.5";"1";"0";"0";"2";"NaN";"2";"NaN";"NaN";"NaN";"NaN";"1";"1";"2";"0";"2";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"2";"1.5";"0.5";"2";"1";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0.707106781186548";"0.707106781186548";"0";"0";0
"67";"Rhyolite,_Nevada";"0.0262350576536549";"138";"39";"496";"0.071838609152042";"18";"15";"0.77500133198359";"10.9811550151976";"5";"37.9416058394161";"5.8978102189781";"272.757835508483";"19.2618506958294";"42.535485419022";"9.82793138428009";"-0.189043089919139";"23";"25";"13";"77";"4.15384615384615";"7.35384615384615";"2.22222222222222";"2.77777777777778";"1.94871794871795";"2.20512820512821";"4.29230769230769";"3.06153846153846";"5.39130434782609";"2.47826086956522";"2.91304347826087";"3.48";"1.6";"1.88";"3.07692307692308";"1.23076923076923";"1.84615384615385";"9.62337662337662";"4.97402597402597";"4.64935064935065";"184";"286";"26";"3.4377047233848";"23.2523055101739";"5.98582202871729";"3.94902155499689";"2.0767981168986";"1.70416652231009";"22.9896193129387";"3.86036317542195";"5.59008156091729";"4.23051216776185";"2.31424528200803";"1.91746360243595";"1.29099444873581";"1.01324561023804";"1.97743682838578";"1.58922654950168";"1.06818801763811";"32.4507882318665";"23.2350540676288";"15.1290642506109";"0";"0";1
"68";"Robert_Hues";"0.049438202247191";"90";"15";"396";"0.1430929196237";"17";"13";"0.847620249968438";"0.270283244662664";"11.5294117647059";"22.1685393258427";"7.71910112359551";"118.836949487741";"17.4408016679052";"0.791816820276277";"24.5817962297785";"-0.0812430718529441";"13";"9";"3";"65";"15.7333333333333";"6.68181818181818";"6.88235294117647";"4.64705882352941";"10.3333333333333";"5.4";"2.25";"4.43181818181818";"6.61538461538461";"3.38461538461538";"3.23076923076923";"24.1111111111111";"14.7777777777778";"9.33333333333333";"2.66666666666667";"1.33333333333333";"1.33333333333333";"7.4";"3.30769230769231";"4.09230769230769";"105";"221";"70";"39.5139517253385";"8.59630187462386";"25.3004010663398";"5.25524947636395";"27.7274146614776";"11.8671214466092";"6.0043588817954";"5.04582593913363";"7.97431775073853";"6.77665676591909";"3.6321216516394";"50.4639585358809";"35.9088351864056";"15.1739909054935";"2.08166599946613";"1.52752523165195";"0.577350269189626";"14.0142784330839";"13.4616620873444";"4.55769636481481";"0";"0";1
"69";"Rugby_World_Cup";"0.0116748445539244";"710";"246";"5877";"0.0774993136447425";"66";"17";"0.563166302287136";"316.578579417694";"20.9090909090909";"727.091678420311";"15.4428772919605";"5016.73086457812";"43.6454470889749";"1031.79354063289";"98.8606987747799";"-0.257399869356149";"93";"161";"203";"253";"28.4105691056911";"8.6578947368421";"15.8939393939394";"5.01515151515152";"14.6341463414634";"13.7764227642276";"3.08684210526316";"5.57105263157895";"24.4516129032258";"17.3763440860215";"7.0752688172043";"19.4782608695652";"7.93788819875776";"11.5403726708075";"15.7389162561576";"6.64039408866995";"9.09852216748769";"12.4466403162055";"6.46245059288538";"5.98418972332016";"805";"3284";"1788";"68.5241364454392";"18.0345261307121";"98.8733655958086";"10.3232261269914";"47.2789841205622";"42.6053892946312";"5.70888633108336";"15.8726031019506";"85.773148241899";"72.7087570197605";"16.1859013792733";"47.7420264228124";"16.7084145870403";"42.3849905315578";"31.1941510893632";"12.5833358231426";"29.3399357444485";"53.5091050568517";"50.7126550876037";"16.6747524146791";"0";"0";1
"70";"Say_Hello_to_My_Little_Friend";"0.161319073083779";"34";"5";"181";"0.183129855715871";"6";"3";"1.95684113865932";"0";"2.33333333333333";"14.3939393939394";"8.81818181818182";"69.9259482271376";"23.4406891769613";"0";"1.211060141639";"-0.277037448749338";"5";"1";"2";"26";"31.8";"8.31578947368421";"0.5";"1.83333333333333";"13.4";"18.4";"5.21052631578947";"3.10526315789474";"30.2";"12.4";"17.8";"12";"6";"6";"16";"7";"9";"6.42307692307692";"3.80769230769231";"2.61538461538462";"71";"110";"0";"58.3669426987571";"16.4858613888081";"0.836660026534076";"0.752772652709081";"23.9018827710287";"34.4789791032159";"16.2124059060695";"3.58848059524587";"59.1498098052733";"24.3885218904303";"34.7735531690393";NA;NA;NA;"18.3847763108502";"8.48528137423857";"9.89949493661167";"13.5179083498094";"13.7841045578426";"1.87780559328005";"0";"0";1
"71";"Sherman_Minton";"0.0376164318127538";"159";"29";"945";"0.105060321715818";"35";"6";"1.28374859798109";"164.73922577581";"16.5714285714286";"64.5506329113924";"10.1329113924051";"436.916793696499";"35.4688531938068";"903.473233460025";"69.581642995957";"-0.103556831543648";"14";"13";"30";"102";"8.06896551724138";"11.1136363636364";"6.2";"10.3714285714286";"5.79310344827586";"2.27586206896552";"6.02272727272727";"5.09090909090909";"10.7142857142857";"5.57142857142857";"5.14285714285714";"9.07692307692308";"5.53846153846154";"3.53846153846154";"6.23333333333333";"2.93333333333333";"3.3";"14.0686274509804";"6.93137254901961";"7.13725490196078";"289";"602";"54";"7.759469028607";"34.6935456643278";"23.8990524055317";"45.7770079164367";"6.20126317975866";"2.31295345707199";"31.516453383206";"10.6064785706568";"14.9893735253118";"5.04920840276033";"11.2102778587477";"11.0110666941759";"9.03341375685649";"2.81707249390168";"7.83750194778982";"4.44066889442177";"4.80050284722412";"51.4220085801234";"32.2236183610046";"28.3056301350159";"0";"0";1
"72";"Singapore_strategy";"0.0888888888888889";"55";"6";"264";"0.145104207628785";"13";"8";"1.5787037037037";"2.07940446650124";"3.53846153846154";"33";"7.90740740740741";"151.717826863122";"24.032421904286";"7.48771239222277";"1.9414506867883";"-0.134795774647343";"4";"1";"9";"41";"37.5";"7.77777777777778";"1";"2.53846153846154";"17.6666666666667";"19.8333333333333";"4.85185185185185";"2.92592592592593";"70.5";"45.75";"24.75";"2";"1";"1";"6.44444444444444";"3.11111111111111";"3.33333333333333";"4.53658536585366";"1.26829268292683";"3.26829268292683";"101";"160";"3";"68.6840592859799";"19.55137873032";"1.08012344973464";"1.50639661750509";"31.3028220240071";"37.4348322644388";"19.376241803785";"3.62603752712905";"84.9646985518103";"52.885883434681";"47.5070170255581";NA;NA;NA;"6.65415492589238";"4.01386485959743";"2.82842712474619";"5.18216924161885";"2.15666861436687";"3.30926268407256";"0";"0";1
"73";"SMS_Schwaben";"0.241758241758242";"14";"1";"44";"0.24390243902439";"2";"2";"1.43786982248521";"0";"2";"2.53846153846154";"5.38461538461539";"9.15255323771628";"10.7899525913267";"0";"1.4142135623731";"-0.257313628297739";"2";"0";"2";"10";"41";"4.625";"0";"2";"20";"21";"2.875";"1.75";"10";"9";"1";"NaN";"NaN";"NaN";"22";"10.5";"11.5";"2.4";"0.5";"1.9";"18";"24";"2";NA;"5.62995813229802";"0";"1.4142135623731";NA;NA;"6.15136454083854";"1.16496474502144";"11.3137084989848";"12.7279220613579";"1.4142135623731";NA;NA;NA;"26.8700576850888";"13.4350288425444";"13.4350288425444";"1.57762127549323";"0.707106781186548";"0.994428926011753";"0";"0";1
"74";"South_Carolina-class_battleship";"0.0466800804828974";"71";"13";"232";"0.182142857142857";"10";"0";"0.611938775510204";"36.1178571428571";"8.3";"21.9571428571429";"5.32857142857143";"65.5985653753641";"6.31015153719467";"55.551266382046";"8.09732466106347";"-0.356138744062614";"6";"8";"17";"40";"5.84615384615385";"6.31914893617021";"2";"6.3";"3.53846153846154";"2.30769230769231";"3.48936170212766";"2.82978723404255";"18.6666666666667";"16.3333333333333";"2.33333333333333";"6.625";"4";"2.625";"3.76470588235294";"1.17647058823529";"2.58823529411765";"5.875";"2.05";"3.825";"91";"141";"0";"6.54275876887512";"13.8612791664229";"3.23178657161089";"6.32543366980566";"4.82381910618866";"2.09700641330347";"13.4145805496426";"3.20542440340128";"35.4889654211935";"36.5823272450874";"1.96638416050035";"8.14050717970675";"5.68205194324324";"2.66926956300783";"3.64913366027996";"1.28623938856882";"2.69394746444256";"7.12232855901524";"3.80923304751185";"4.50576553727811";"0";"0";1
