"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"ninitialized";"nresponded";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured"
"56";"Nyon_Conference";"0.208333333333333";"16";"0";"50";"0.038961038961039";"1";"0";"2.19555555555556";"0";"1";"13";"22";"16.062378404209";"31.0161248385416";NA;NA;"11";"3.4";"3.24509048331444";"0.286462947928887";"0";"0";"0";"4";"NaN";"1";"1";"0";"NaN";"NaN";"1";"0";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"1";"1";"0";"12";"38";NA;"0";NA;NA;NA;NA;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0"
"57";"Oliver_Bosbyshell";"0.166666666666667";"6";"0";"5";"0";"1";"0";"0.4";"0";"1";"0";"5";NA;NA;NA;NA;"0";"0";"0";"NaN";"0";"0";"0";"1";"NaN";"NaN";"1";"0";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"1";"1";"0";"5";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"0"
"58";"Order_of_St_Patrick";"0.0111995284409078";"117";"20";"152";"0.0216216216216216";"14";"3";"0.140866527942925";"0";"1";"98.3506493506493";"3.42857142857143";"146.534419006321";"6.31920333800612";"0";"0";"21";"3.90789473684211";"4.73727680899114";"0.349799085485701";"18";"5";"14";"40";"5.35";"1.65";"1";"0";"2.4";"2.95";"0.875";"0.775";"2.5";"1.16666666666667";"1.33333333333333";"2";"1";"1";"6.35714285714286";"3.07142857142857";"3.28571428571429";"1.15";"0.775";"0.375";"40";"112";"9.85299847495007";"3.00042731999362";"0";"0";"4.69490205043278";"5.17560065164065";"0.938834520248513";"2.21287027902561";"4.44905806290037";"1.29478592370913";"3.23582883281766";"0.707106781186548";"0";"0.707106781186548";"11.7643996404873";"5.51172576232897";"6.28096723845535";"0.36162028533979";"0.42290206176626";"0.540061724867322";"0";"0"
"59";"Pain_fitzJohn";"0.216748768472906";"29";"0";"176";"0.0209059233449477";"2";"0";"5.3609693877551";"0";"1";"40.1176470588235";"20";"94.4919853432959";"72.6782292024235";"0";"0";"49";"13.8352272727273";"12.0741096308019";"0.167621544574668";"7";"0";"1";"9";"NaN";"1.26666666666667";"0.5";"0.5";"NaN";"NaN";"1";"0.266666666666667";"1.14285714285714";"1";"0.142857142857143";"NaN";"NaN";"NaN";"2";"1";"1";"1.22222222222222";"0.888888888888889";"0.333333333333333";"12";"164";NA;"0.457737708217063";"0.707106781186548";"0.707106781186548";NA;NA;"0";"0.457737708217063";"0.377964473009227";"0";"0.377964473009227";NA;NA;NA;NA;NA;NA;"0.440958551844098";"0.333333333333333";"0.5";"0";"0"
"60";"Paraceratherium";"0.0314600448095594";"104";"36";"337";"0.0417391304347826";"4";"2";"1.9337355075879";"0";"1.25";"269.513157894737";"8.5";"442.981128068185";"45.7122886468544";"0";"0.5";"52";"12.6706231454006";"12.0154215352628";"0.665980727558661";"18";"17";"18";"23";"3";"2.52941176470588";"0.75";"0.5";"1.38888888888889";"1.61111111111111";"1.58823529411765";"0.941176470588235";"2.5";"1.22222222222222";"1.27777777777778";"3.23529411764706";"1.58823529411765";"1.64705882352941";"3.61111111111111";"1.88888888888889";"1.72222222222222";"1.60869565217391";"1.1304347826087";"0.478260869565217";"28";"309";"2.29284601688444";"3.63680924185962";"0.5";"1";"1.22539271320965";"1.1026663211838";"1.65360299106222";"2.01420977016235";"2.66237399591373";"1.35279908318905";"1.40610247955351";"2.56245516460059";"1.32565189291023";"1.27186754767292";"4.27219311208284";"2.02597511421012";"2.29591851555436";"1.5591119393827";"0.694415897524803";"0.99405346560943";"0";"0"
"61";"Peter_Warlock";"0.0293466223698782";"43";"15";"53";"0";"2";"0";"0.0430839002267574";"125";"2";"61.4615384615385";"2.61538461538462";"43.7636271431967";"1.26938411538378";"7.07106781186548";"0";"22";"8.47169811320755";"5.9245375463306";"0.318556321101032";"14";"4";"7";"14";"2.4";"2.09090909090909";"1";"1";"1.2";"1.2";"1.04545454545455";"1.04545454545455";"2.5";"1.21428571428571";"1.28571428571429";"2";"1";"1";"2";"1";"1";"2.07142857142857";"1.07142857142857";"1";"4";"49";"0.828078671210825";"1.1509454047327";"0";"0";"0.414039335605413";"0.414039335605413";"0.575472702366351";"0.722249971716872";"1.22474487139159";"0.578934223521839";"0.726273039202563";"0";"0";"0";"0";"0";"0";"1.14113881811014";"0.615727926214882";"0.679366220486757";"0";"0"
"62";"Planescape._Torment";"0.00418410041841004";"479";"158";"958";"0.0213329615170106";"12";"3";"0.231655170602756";"0";"1";"1759.97445255474";"6.24452554744526";"5057.33805873099";"20.0190949860323";"0";"0";"46";"7.20146137787056";"9.26810228203218";"0.335153721631735";"86";"75";"49";"64";"2.22784810126582";"1";"1";"0";"1.31012658227848";"0.917721518987342";"1";"0";"1.93023255813953";"1.22093023255814";"0.709302325581395";"2.09333333333333";"1.30666666666667";"0.786666666666667";"1.3265306122449";"1.04081632653061";"0.285714285714286";"1.25";"1.078125";"0.171875";"205";"753";"3.57253988077247";"0";"0";"0";"1.61955368049418";"2.01890804147097";"0";"0";"3.28916473457363";"1.5293302093377";"1.83345561918579";"3.60245161767062";"1.55070457685682";"2.09435104657894";"1.10656667034498";"0.498296417534675";"0.707106781186548";"1.43648601228556";"0.649900786078946";"0.827209643107957";"0";"0"
"63";"Ranavalona_I";"0.0166301741215723";"139";"29";"319";"0.0109729334308705";"6";"3";"1.03063957151859";"0";"1";"114.333333333333";"7.16049382716049";"256.129508257053";"31.9966626346106";"0";"0";"21";"4.12225705329154";"4.05552343864374";"0.567631378619912";"28";"14";"12";"27";"3.44827586206897";"1.04651162790698";"1";"0";"1.55172413793103";"1.89655172413793";"1";"0.0465116279069767";"1.39285714285714";"0.964285714285714";"0.428571428571429";"5.21428571428571";"2.42857142857143";"2.78571428571429";"1.08333333333333";"0.75";"0.333333333333333";"1.07407407407407";"1";"0.0740740740740741";"58";"261";"6.39523375478372";"0.304997140665209";"0";"0";"2.83581944439033";"3.60896530072983";"0";"0.304997140665209";"1.03061598676195";"0.50787450018337";"0.741798187018916";"8.92859340656636";"3.87723703595318";"5.08661246544558";"0.288675134594813";"0.452267016866645";"0.492365963917331";"0.384900179459751";"0";"0.384900179459751";"0";"0"
"64";"Red_rail";"0.0769230769230769";"53";"4";"212";"0.0354609929078014";"1";"4";"2.65588017751479";"45.2";"12";"63.1621621621622";"11.027027027027";"122.254167078406";"45.4144412216144";NA;NA;"44";"11.9339622641509";"10.901775035195";"0.486576038808523";"8";"1";"3";"25";"3.25";"2.10714285714286";"5";"7";"1.5";"1.75";"1.21428571428571";"0.892857142857143";"2.375";"1.25";"1.125";"8";"4";"4";"1.66666666666667";"1";"0.666666666666667";"2.44";"1.32";"1.12";"16";"196";"3.20156211871642";"2.64350056517778";NA;NA;"1.73205080756888";"1.5";"1.31535498256506";"1.44886381320204";"3.11390888939105";"1.58113883008419";"1.64208056179609";NA;NA;NA;"0.577350269189626";"0";"0.577350269189626";"3.02875111776015";"1.37598449603669";"1.76351920885484";"0";"0"
"65";"Rhyolite,_Nevada";"0.0247252747252747";"92";"14";"207";"0.0121951219512195";"6";"3";"1.07487018476029";"0";"1";"171.240740740741";"6.96296296296296";"284.857788761882";"26.7616756131085";"0";"0";"28";"5.45893719806763";"5.9851762536536";"0.541150789528278";"17";"7";"5";"25";"3.64285714285714";"1.03225806451613";"1";"0";"1.42857142857143";"2.21428571428571";"0.967741935483871";"0.0645161290322581";"2.70588235294118";"1.41176470588235";"1.29411764705882";"1.71428571428571";"0.857142857142857";"0.857142857142857";"1.8";"1";"0.8";"1";"0.96";"0.04";"38";"169";"4.56756361341989";"0.179605302026775";"0";"0";"1.69679724160575";"2.9135907380775";"0.179605302026775";"0.249731038114707";"4.35552387610195";"1.50244898122248";"2.88887317743339";"0.755928946018454";"0.377964473009227";"0.690065559342354";"1.30384048104053";"0";"1.30384048104053";"0";"0.2";"0.2";"0";"0"
