"";"page";"nedits_edit";"nedits_talk";"density_edit";"density_talk";"ncontributors_edit";"ncontributors_talk";"nadmins_edit";"nadmins_talk";"nbots_edit";"nbots_talk";"nanon_edit";"nanon_talk";"transitivity_edit";"transitivity_talk";"centralization_edit";"centralization_talk";"mean_betweenness_edit";"mean_betweenness_talk";"mean_betweenness_admins_edit";"mean_betweenness_admins_talk";"mean_degree_centrality_edit";"mean_degree_centrality_talk";"mean_degree_centrality_admins_edit";"mean_degree_centrality_admins_talk";"sd_betweenness_edit";"sd_betweenness_talk";"sd_betweenness_admins_edit";"sd_betweenness_admins_talk";"sd_degree_centrality_edit";"sd_degree_centrality_talk";"sd_degree_centrality_admins_edit";"sd_degree_centrality_admins_talk";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured";"nadded";"ndeleted";"nrestored";"ninitialized";"nresponded";"degree_assortativity_edit";"degree_assortativity_talk";"nquar1_edit";"nquar2_edit";"nquar3_edit";"nquar4_edit";"nquar1_talk";"nquar2_talk";"nquar3_talk";"nquar4_talk"
"82";"Tower_of_London";"359";"42";"0.0402015677491601";"0.0333333333333333";"95";"36";"31";"5";"0";"0";"27";"5";"0.150368751707184";"0";"0.507695789950204";"0.274285714285714";"6.27659574468085";"57.1923076923077";"4.57530736176181";"4.2";"6.5531914893617";"2.84615384615385";"10.258064516129";"5.2";"20.6285796093834";"46.2981807251812";"11.5021674846747";"9.39148550549912";"8.23657855325941";"3.82300727378129";"19.4353076331634";"8.84307638777366";"24";"5.45238095238095";"6.35994470351932";"0";"0";"102";"175";"82";"10";"32";"-0.55657723351106";"0.579700871798161";"10";"10";"22";"53";"8";"2";"5";"11"
"83";"Trait_du_Nord";"116";"56";"0.0673635307781649";"0.064367816091954";"42";"30";"9";"1";"6";"1";"3";"1";"0.122749590834697";"0";"0.743010113027959";"1.21759809750297";"9.65853658536585";"25";"0";"0";"4.46341463414634";"6.46666666666667";"2.66666666666667";"1";"48.8198173262518";"37.7907774085538";"0";NA;"9.91992328845241";"18.1378320750015";"2.12132034355964";NA;"38";"2.14285714285714";"2.10132920209671";"0";"0";"49";"65";"2";"15";"41";"-0.360474122661722";"0.34798052235378";"2";"1";"3";"36";"6";"0";"0";"9"
"84";"Troy_McClure";"358";"127";"0.0111111111111111";"0.0111973196967025";"180";"107";"19";"2";"1";"0";"84";"47";"0.0468056787932564";"0.0275229357798165";"0.463531100777129";"0.088688145247419";"5.22346368715084";"161.113636363636";"0.105263157894737";"0";"3.05586592178771";"2.67045454545455";"1.89473684210526";"1";"21.186755751443";"186.029702350834";"0.315301767642306";"0";"3.2407529129195";"2.36702243194112";"1.32894013083548";"0";"9";"7.34645669291339";"6.75110567400054";"0";"0";"169";"184";"5";"19";"108";"-0.305186299878558";"-0.104280983537183";"28";"43";"54";"54";"17";"25";"31";"15"
"85";"U.S._Route_131";"526";"384";"0.0875790875790876";"0.0236220472440945";"78";"128";"11";"9";"2";"3";"17";"17";"0.197402153478038";"0.0383858267716535";"1.82543430595379";"1.67053134106268";"41.3896103896104";"190.328358208955";"6.0095165305254";"0";"11.7272727272727";"10.5522388059701";"5.72727272727273";"1";"234.852358352395";"566.917704353155";"15.5321312902034";"0";"33.5487219788099";"51.8246704975973";"6.14964891828646";"0";"58";"7.671875";"8.38011077059338";"0";"0";"149";"368";"9";"61";"323";"-0.197689811578431";"0.491590049496991";"5";"7";"21";"44";"4";"11";"19";"33"
"86";"Victoria_Cross_(Canada)";"46";"34";"0.121052631578947";"0.111111111111111";"20";"18";"5";"2";"0";"0";"5";"2";"0.248275862068966";"0.107142857142857";"0.509695290858726";"1.19031141868512";"0.210526315789474";"4.88888888888889";"0";"0";"3.63157894736842";"6.55555555555556";"7.2";"1";"0.515476841641801";"9.85449699939632";"0";"0";"4.19272552982199";"13.38946517893";"8.98331787259028";"0";"20";"2.44117647058824";"2.51289012011931";"0";"0";"23";"22";"1";"9";"25";"-0.202320751776832";"0.371730760345387";"4";"0";"4";"12";"2";"0";"1";"6"
"87";"Villa_Park";"2483";"436";"0.0122890373669884";"0.00974693731556827";"450";"212";"38";"7";"17";"4";"175";"48";"0.058344684177863";"0.0251603354711396";"0.66513558960521";"0.309247321488736";"197.240534521158";"796.425675675676";"70.2528285289007";"0";"9.83296213808463";"5.45945945945946";"4.89473684210526";"1";"1967.53391067502";"1455.90841434218";"242.835815359917";"0";"32.8123204811537";"15.9418067491397";"5.49097280646232";"0";"7";"13.3050458715596";"14.3082990867717";"0";"0";"551";"1471";"461";"65";"371";"-0.222438052572931";"0.462087392543981";"93";"80";"81";"196";"42";"26";"28";"51"
"88";"Waiting_(2015_film)";"382";"186";"0.0547905909351692";"0.0824468085106383";"84";"48";"8";"1";"4";"0";"23";"3";"0.12118713932399";"0.0110091743119266";"1.34678472927856";"2.86011770031689";"28.0963855421687";"70.6";"3.37755102040817";"0";"7.6144578313253";"13.96";"3.5";"1";"169.828050101343";"173.891249540242";"9.55315692133663";NA;"25.7136346698435";"53.6318313442058";"2.1380899352994";NA;"23";"5.2258064516129";"4.40056269684037";"0";"0";"132";"230";"20";"23";"163";"-0.00103379405697359";"0.286570091283515";"19";"8";"10";"47";"8";"4";"2";"11"
"89";"War_of_the_League_of_Cambrai";"819";"118";"0.0409050044950554";"0.0412299091544375";"142";"54";"24";"4";"2";"0";"43";"6";"0.0799569511268676";"0.00818926296633303";"1.34802072330366";"1.47668209327163";"37.7234042553192";"48.5714285714286";"3.11984615469601";"0";"10.3191489361702";"14";"4.41666666666667";"1";"375.71927647181";"141.509289874832";"11.1160625359008";"0";"33.563440813935";"41.4821555704285";"5.19126914755138";"0";"39";"2.07627118644068";"2.10069902757673";"0";"0";"183";"449";"187";"40";"78";"-0.00784729731534675";"0.00316909255665781";"19";"18";"30";"75";"3";"2";"3";"6"
"90";"Water_pipit";"251";"88";"0.0253535353535354";"0.0390070921985816";"100";"48";"12";"1";"6";"1";"13";"6";"0.0638778971170153";"0";"0.51004999489848";"1.00316885468538";"19.7979797979798";"68.7714285714286";"0.175287356321839";"0";"4.01010101010101";"4.65714285714286";"2.25";"1";"104.830695879551";"54.6400444159914";"0.385517278765072";NA;"7.80305401945348";"15.9003197473267";"0.452267016866645";NA;NA;"5.26136363636364";"5.680161723013";"0";"0";"105";"140";"6";"13";"75";"-0.387643325186121";"0.700772761675471";"3";"7";"23";"67";"3";"2";"9";"21"
"91";"Witold_Pilecki";"1037";"500";"0.028277705061082";"0.00829600132736021";"192";"246";"35";"15";"5";"6";"61";"60";"0.153828979682965";"0.0245649948822927";"0.684712590115403";"0.43838400666389";"119.79057591623";"719.21472392638";"33.7311167192781";"128.866666666667";"9.43979057591623";"5.62576687116564";"4.25714285714286";"15.9333333333333";"608.740566903318";"1619.52367355113";"110.365222273563";"342.684958748383";"19.018696838364";"19.3381494287336";"4.75482947763056";"55.9074064434945";NA;"8.148";"9.30845802383849";"0";"0";"271";"586";"180";"83";"417";"-0.23290104155139";"0.762144255348425";"31";"25";"29";"107";"57";"22";"27";"57"
