"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"463";"Mike_Peel";"0";"admin";"26572";"2005"
"467";"Nikkimaria";"0";"admin";"98239";"2005"
"469";"Sj";"0";"admin";"20636";"2004"
"470";"Per_Honor_et_Gloria";"0";"inscrit";"53031";"2004"
"471";"GreatWhiteNortherner";"0";"inscrit";"13519";"2003"
"473";"Wetman";"0";"inscrit";"91113";"2003"
"478";"62.179.86.244";"1";"anonyme";"17";"2004"
"479";"Paul_August";"0";"admin";"114608";"2004"
"491";"Henry_Flower";"0";"admin";"15862";"2004"
"499";"Taxman";"0";"admin";"14708";"2003"
"504";"Dcoetzee";"0";"admin";"37529";"2003"
"506";"Dramatic";"0";"inscrit";"21903";"2002"
"510";"Babomb";"0";"inscrit";"321";"2004"
"515";"Neutrality";"0";"admin";"128673";"2004"
"523";"Wikibob";"0";"inscrit";"2524";"2004"
"527";"Ktsquare";"0";"admin";"10676";"2002"
"528";"Joy";"0";"admin";"100557";"2002"
"530";"Hajor";"0";"admin";"20379";"2002"
"531";"DanielNuyu";"0";"inscrit";"1701";"2004"
"533";"Stevenj";"0";"admin";"14706";"2003"
"537";"Starblind";"0";"admin";"16974";"2004"
"539";"FreplySpang";"0";"admin";"24796";"2005"
"540";"TheoClarke";"0";"admin";"7490";"2005"
"543";"213.118.98.140";"1";"anonyme";"10";"2005"
"544";"Mike_s";"0";"inscrit";"16772";"2005"
"550";"Grenavitar";"0";"admin";"30596";"2004"
"553";"Aldux";"0";"admin";"24532";"2005"
"557";"213.102.93.169";"1";"anonyme";"2";"2005"
"558";"Angr";"0";"admin";"89265";"2003"
"566";"RobotE";"0";"inscrit";"15723";"2005"
"569";"Curpsbot-unicodify";"0";"inscrit";"29655";"2005"
"572";"85.157.100.39";"1";"anonyme";"7";"2005"
"573";"Dimadick";"0";"inscrit";"354449";"2003"
"574";"Bobblewik";"0";"inscrit";"66026";"2004"
"578";"80.58.0.170";"1";"anonyme";"98";"2004"
"579";"Lupin";"0";"admin";"19513";"2004"
"582";"66.65.150.103";"1";"anonyme";"1247";"2006"
"583";"168.233.254.6";"1";"anonyme";"1060";"2005"
"584";"TimBentley";"0";"inscrit";"25851";"2005"
"585";"BAPhilp";"0";"inscrit";"44";"2006"
"587";"Knutta-butta";"0";"inscrit";"1";"2006"
"622";"Curps";"0";"admin";"52628";"2004"
"658";"Nt.surfer";"0";"inscrit";"1";"2006"
"693";"Tawkerbot2";"0";"inscrit";"131306";"2006"
"729";"Facepie";"0";"inscrit";"1";"2006"
"800";"Pullies909";"0";"inscrit";"1";"2006"
"871";"Omegahertz";"0";"inscrit";"1";"2006"
"942";"Jonascrom";"0";"inscrit";"1";"2006"
"1013";"Borredit";"0";"inscrit";"1";"2006"
"1084";"Number44";"0";"inscrit";"1";"2006"
"1155";"What_time_is_it";"0";"inscrit";"1";"2006"
"1226";"Antonebradley";"0";"inscrit";"1";"2006"
"1297";"Shiajiwad";"0";"inscrit";"1";"2006"
"1368";"Scrwd";"0";"inscrit";"1";"2006"
"1439";"Dnguyen";"0";"inscrit";"1";"2006"
"1510";"Castronova";"0";"inscrit";"1";"2006"
"1581";"Scuttlemon";"0";"inscrit";"1";"2006"
"1616";"RoyBoy";"0";"admin";"39617";"2004"
"1652";"L0sine";"0";"inscrit";"1";"2006"
"1687";"Sango123";"0";"admin";"26665";"2005"
"1723";"45more";"0";"inscrit";"1";"2006"
"1794";"Left-to-go";"0";"inscrit";"1";"2006"
"1865";"VCEL";"0";"inscrit";"1";"2006"
"1936";"Pplay~enwiki";"0";"inscrit";"1";"2006"
"2007";"Quocmor";"0";"inscrit";"1";"2006"
"2078";"Cloudroots";"0";"inscrit";"1";"2006"
"2149";"65.94.197.164";"1";"anonyme";"1";"2006"
"2151";"Pilotguy";"0";"admin";"21089";"2005"
"2153";"71.134.156.106";"1";"anonyme";"11";"2006"
"2155";"Finduilas_09";"0";"inscrit";"2169";"2006"
"2161";"Railer_257";"0";"inscrit";"3";"2006"
"2163";"68.69.225.127";"1";"anonyme";"15";"2005"
"2164";"130.13.114.39";"1";"anonyme";"4";"2006"
"2215";"Can't_sleep,_clown_will_eat_me";"0";"admin";"101994";"2005"
"2217";"201.230.33.46";"1";"anonyme";"2";"2006"
"2240";"160.94.13.135";"1";"anonyme";"31";"2004"
"2242";"Wai_Hong";"0";"inscrit";"9217";"2005"
"2243";"64.56.114.90";"1";"anonyme";"2";"2006"
"2245";"66.108.14.167";"1";"anonyme";"7";"2006"
"2247";"209.98.116.139";"1";"anonyme";"9";"2004"
"2249";"71.135.3.140";"1";"anonyme";"1";"2006"
"2360";"80.121.27.204";"1";"anonyme";"1";"2006"
"2362";"Ballista";"0";"inscrit";"6564";"2006"
"2363";"70.36.224.99";"1";"anonyme";"4";"2006"
"2364";"198.138.133.64";"1";"anonyme";"2";"2006"
"2365";"134.126.218.1";"1";"anonyme";"4";"2006"
"2366";"66.58.139.154";"1";"anonyme";"2";"2006"
"2369";"218.101.26.122";"1";"anonyme";"1";"2006"
"2371";"ManaUser";"0";"inscrit";"49";"2005"
"2372";"193.175.194.60";"1";"anonyme";"121";"2003"
"2374";"Assmafia";"0";"inscrit";"22";"2006"
"2468";"Jeltz";"0";"inscrit";"8465";"2004"
"2470";"VaughanHolm19";"0";"inscrit";"7";"2006"
"2512";"Kungfuadam";"0";"admin";"21772";"2005"
"2554";"Jolli3";"0";"inscrit";"3";"2006"
"2597";"EmmaSmith";"0";"inscrit";"13";"2006"
"2682";"Francs2000";"0";"admin";"39062";"2003"
"2724";"FlareOfFire";"0";"inscrit";"3";"2006"
"2766";"Shanel";"0";"admin";"11028";"2005"
"2809";"194.80.20.10";"1";"anonyme";"1616";"2005"
"2811";"194.105.165.178";"1";"anonyme";"273";"2003"
"2814";"145.58.200.11";"1";"anonyme";"231";"2005"
"2817";"Royboycrashfan";"0";"admin";"13410";"2005"
"2821";"194.81.176.19";"1";"anonyme";"154";"2003"
"2823";"216.20.1.214";"1";"anonyme";"425";"2003"
"2824";"64.45.229.101";"1";"anonyme";"48";"2005"
"2839";"64.56.47.35";"1";"anonyme";"222";"2005"
"2842";"Shanes";"0";"admin";"29654";"2004"
"2844";"142.227.177.129";"1";"anonyme";"147";"2005"
