"";"page";"nedits_edit";"nedits_talk";"density_edit";"density_talk";"ncontributors_edit";"ncontributors_talk";"nadmins_edit";"nadmins_talk";"nbots_edit";"nbots_talk";"nanon_edit";"nanon_talk";"transitivity_edit";"transitivity_talk";"centralization_edit";"centralization_talk";"mean_betweenness_edit";"mean_betweenness_talk";"mean_betweenness_admins_edit";"mean_betweenness_admins_talk";"mean_degree_centrality_edit";"mean_degree_centrality_talk";"mean_degree_centrality_admins_edit";"mean_degree_centrality_admins_talk";"sd_betweenness_edit";"sd_betweenness_talk";"sd_betweenness_admins_edit";"sd_betweenness_admins_talk";"sd_degree_centrality_edit";"sd_degree_centrality_talk";"sd_degree_centrality_admins_edit";"sd_degree_centrality_admins_talk";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured"
"29";"Harvey_Milk";"558";"122";"0.0123571618389583";"0.0101751459549625";"213";"110";"36";"11";"2";"1";"93";"37";"0.0658514583542147";"0.026431718061674";"0.463877269490922";"0.0360239037118088";"12.4669811320755";"147.336956521739";"30.4925925925926";"49.7272727272727";"4.31603773584906";"2.45652173913043";"4";"1.54545454545455";"53.6279681783755";"153.582227478406";"95.1187185894674";"90.9253440016489";"5.04568018125012";"1.53646549921938";"4.92225267825326";"0.687551650952329";NA;NA;NA;"0";"0"
"30";"Hentai";"210";"58";"0.0262172284644195";"0.0218702865761689";"90";"52";"19";"3";"0";"0";"38";"23";"0.11996336996337";"0.0909090909090909";"0.46206287084964";"0.0776624375240292";"10.4044943820225";"9.19512195121951";"3.31286549707602";"0";"3.75280898876404";"2.5609756097561";"3.21052631578947";"1";"29.7546631449514";"9.68560662063849";"11.4475785371539";"0";"3.6284259637567";"2.02544785773178";"2.37062924999581";"0";NA;NA;NA;"0";"0"
"31";"Hip_hop_culture";"6381";"460";"0.006650893248004";"0.00344337150984355";"980";"366";"97";"11";"4";"1";"601";"143";"0.0555642990267136";"0.0101010101010101";"0.481071865665179";"0.0872058547569901";"450.886618998979";"505.780701754386";"921.548973099284";"0";"12.0612870275792";"3.42982456140351";"12.360824742268";"1";"4306.19396942462";"1090.09895802389";"8280.2760527703";"0";"32.5095915180913";"6.38965201184868";"51.5764371198649";"0";NA;NA;NA;"0";"0"
"32";"Hydraulic_fracturing";"445";"1119";"0.0216103341103341";"0.00441399223705387";"144";"504";"8";"7";"5";"4";"61";"98";"0.0871537496380658";"0.0314274525161543";"0.548633184996821";"0.433822512242648";"93.3846153846154";"979.5";"0.1375";"0";"5.09090909090909";"7.47014925373134";"3.25";"1";"352.286431644755";"3791.29820869137";"0.350255009141299";"0";"9.02571372926614";"32.2789086641251";"1.90862703084106";"0";NA;NA;NA;"0";"0"
"33";"Jim_Thorpe";"787";"568";"0.0455123756650474";"0.00449438202247191";"132";"356";"33";"22";"0";"1";"41";"122";"0.124712202609363";"0.027355623100304";"0.450265136064332";"0.327411227930966";"38.5038167938931";"652.654618473896";"1.45373952386336";"0";"11.030534351145";"4.13253012048193";"11.5757575757576";"1.04545454545455";"215.325856969159";"1302.87208633331";"6.96277812810304";"0";"17.6373462731338";"15.2952958330679";"25.8312193660964";"0.21320071635561";NA;NA;NA;"0";"0"
"34";"Joe_Arpaio";"8066";"542";"0.0123701031813219";"0.00299364816349075";"808";"426";"70";"9";"7";"0";"442";"135";"0.0927341087760365";"0.00980885311871227";"0.586869231277131";"0.121998615916955";"503.097893432466";"576.890756302521";"91.5822755721758";"0";"18.9553903345725";"3.76470588235294";"13.5571428571429";"1";"3934.01613842333";"1817.64355567608";"336.452545833948";"0";"53.06459842045";"8.09876365243115";"31.2524251646964";"0";NA;NA;NA;"0";"0"
"35";"Kid_Rock";"27599";"461";"0.00879449826844076";"0.00517384570492245";"1772";"299";"124";"9";"5";"1";"1018";"114";"0.0727177172513497";"0.0150753768844221";"0.668036478288608";"0.144638755011036";"1536.4641445511";"328.442708333333";"278.28234217419";"0";"30.1304347826087";"4.24479166666667";"18.7903225806452";"1";"11515.6427482816";"587.334140962596";"1015.41012127606";"0";"89.1894665487869";"8.35517045037379";"52.1149876533275";"0";"27";NA;NA;"0";"0"
"36";"Kosovo_War";"904";"114";"0.0492374727668845";"0.02";"136";"76";"33";"13";"0";"0";"51";"16";"0.222919758018491";"0.0518518518518519";"0.83840877914952";"0.2432";"106.37037037037";"73.4583333333333";"184.146636843107";"0";"11.6296296296296";"4.16666666666667";"12.3939393939394";"1";"447.565498978501";"135.606040525304";"834.196481948096";"0";"22.6629228202658";"6.21026375337834";"35.4276899066424";"0";NA;NA;NA;"0";"0"
"37";"L._Ron_Hubbard";"71421";"248";"0.0180805517554243";"0.00974842767295597";"1988";"160";"227";"10";"11";"1";"988";"61";"0.12148945544118";"0.0459418070444104";"1.26086269356758";"0.214864918318105";"1204.8973326623";"242.778761061947";"1041.37307746192";"0";"70.6799194765979";"3.97345132743363";"57.5991189427313";"1";"12803.8434191392";"465.818244597866";"7612.13333263401";"0";"200.909132623167";"7.25610602107823";"201.837625528211";"0";"70";NA;NA;"0";"0"
"38";"Life_extension";"1056";"687";"0.0119313944817301";"0.00302573859732572";"298";"477";"34";"18";"2";"8";"141";"109";"0.0566207309766327";"0.0197680548234054";"0.564035415887268";"0.116967375185368";"75.7946127946128";"1108.63701067616";"28.1742760551293";"0";"5.96296296296296";"4.19217081850534";"4.55882352941176";"1.16666666666667";"679.7534738039";"3277.08575003247";"125.730171613547";"0";"16.7094196399727";"8.96652958344068";"9.03592552476649";"0.707106781186548";NA;"4.17321688500728";"5.49852712728694";"0";"0"
"39";"Linda_Ronstadt";"4124";"795";"0.0136083154594951";"0.0118972793391398";"551";"259";"53";"6";"3";"2";"279";"69";"0.0683183770817122";"0.0152444366567373";"1.24956859504132";"1.60087284418004";"299.727272727273";"306.472222222222";"113.719080669957";"0";"13.4654545454545";"10.2430555555556";"8.26415094339623";"1";"3358.31956537123";"910.684270621458";"331.685701252407";"0";"62.6237040794821";"69.1430306878155";"13.3951066602068";"0";NA;NA;NA;"0";"0"
"40";"Margaret_Thatcher";"105";"481";"0.0554968287526427";"0.0055459471924363";"44";"295";"16";"32";"0";"0";"9";"91";"0.172828890799656";"0.0243337195828505";"0.538128718226068";"0.0609873200981073";"4";"1830.12621359223";"1.41666666666667";"201.699865894975";"3.72093023255814";"4.2378640776699";"2.9375";"1.0625";"11.7611255445248";"2616.59477122863";"2.85903376581566";"805.04984956257";"4.01974638737646";"5.62110338105068";"2.76812210713328";"0.245934688418982";NA;NA;NA;"0";"0"
"41";"Marital_rape";"1154";"655";"0.0204588164379676";"0.00666449604200159";"238";"314";"18";"12";"7";"5";"106";"112";"0.112677944291038";"0.054707852623744";"0.509106446616461";"0.278567710194041";"67.6751054852321";"953.397321428571";"88.6486427162689";"83.998004626952";"8.68354430379747";"5.44642857142857";"6.38888888888889";"1.16666666666667";"316.431103211851";"2249.83072220777";"239.230708697967";"199.119894455801";"16.3174630670335";"13.0389821095158";"10.146798329516";"0.389249472080761";NA;"9.49923664122137";"12.808501908066";"0";"0"
"42";"Mental_disorder";"2341";"1407";"0.0205520341334082";"0.00233351908609641";"338";"777";"58";"19";"1";"4";"153";"195";"0.0809063935138813";"0.0171296804655759";"0.482358742262413";"0.343469351153151";"89.8605341246291";"1101.34106728538";"77.8811117963239";"0";"12.8902077151335";"5.7262180974478";"11.3103448275862";"1";"477.471497499434";"4149.70321938125";"491.448109537413";"0";"23.0507293607788";"29.3400152873051";"20.0071977368775";"0";NA;NA;NA;"0";"0"
"43";"Michael_Moore";"73464";"484";"0.0157240390900673";"0.00306317481614622";"2162";"398";"275";"26";"6";"1";"1043";"159";"0.0877454343198667";"0.00842696629213483";"0.718759268090402";"0.0398581299291284";"1920.61499305877";"1181";"1503.74781883167";"8.15384615384615";"66.8773715872281";"3";"61.8690909090909";"1.03846153846154";"15293.7514424624";"2338.91859535771";"7060.91355502689";"41.576620649295";"160.89461771876";"3.67806593389576";"251.271302523385";"0.196116135138184";"36";NA;NA;"0";"0"
"44";"Mike_Tyson";"11390";"1010";"0.0111545279156996";"0.00147141949732814";"1011";"829";"122";"14";"0";"1";"608";"380";"0.0611147561970907";"0.00972017673048601";"0.444730908734438";"0.10070319610726";"830.985148514851";"3665.40939597315";"609.033491890069";"0";"21.6435643564356";"2.99832214765101";"24.2213114754098";"1";"7427.4022293535";"7715.83206209028";"3936.07904814866";"0";"44.9085811093274";"7.37210257251918";"93.7656223717503";"0";"10";NA;NA;"0";"0"
"45";"Nicolas_Sarkozy";"2866";"417";"0.0147033172243256";"0.00714996056376667";"442";"242";"48";"12";"2";"1";"226";"83";"0.08398879166257";"0.0272727272727273";"0.619350990585199";"0.355314130266352";"529.557823129252";"807.965714285714";"270.645867770242";"14.4166666666667";"11.7324263038549";"4.38285714285714";"10.1458333333333";"1.16666666666667";"2994.06502013048";"1828.15897103231";"707.312723714163";"48.3875610111324";"27.1325210060754";"13.3009697536503";"22.5312922666605";"0.389249472080761";"38";NA;NA;"0";"0"
"46";"Nicolaus_Copernicus";"347";"323";"0.16049953746531";"0.00506618984879854";"47";"253";"13";"19";"0";"0";"17";"88";"0.278109224414869";"0.0186528497409326";"1.09097353497164";"0.0626417233560091";"29.2608695652174";"577.852272727273";"6.15736239069572";"3.63157894736842";"13.0434782608696";"3.23295454545455";"12.3076923076923";"1.05263157894737";"90.966350137984";"996.48061312685";"12.8414590726575";"15.8296856370688";"24.6819380850218";"4.02524097850861";"24.7062226149089";"0.229415733870562";"47";NA;NA;"0";"0"
"47";"Noam_Chomsky";"14114";"1008";"0.0132908948800768";"0.00218314129775622";"1031";"680";"134";"37";"2";"2";"524";"190";"0.0982518169660016";"0.0220435325107445";"0.686889904797813";"0.0494359503818532";"1130.66990291262";"2439.88613861386";"245.349604459077";"0";"26.0067961165049";"4.30693069306931";"28.2985074626866";"1";"7294.24466655355";"6113.25567604377";"738.505160138228";"0";"63.7108762733427";"7.38685382382374";"134.258141537801";"0";NA;NA;NA;"0";"0"
"48";"North_American_Man.Boy_Love_Association";"14150";"492";"0.0122103599079089";"0.00426861009890682";"1077";"340";"165";"13";"5";"3";"532";"74";"0.12051428549219";"0.0214381420276909";"0.563126632440127";"0.170273492225094";"860.412639405205";"519.431578947368";"388.080815502334";"0";"25.1923791821561";"4.38947368421053";"20.8181818181818";"1";"8261.53324060229";"978.085845225193";"2923.9363827132";"0";"67.2062370964169";"10.8820465092492";"54.7367617058217";"0";NA;"3.68292682926829";"5.88458869286955";"0";"0"
