"";"page";"nedits_edit";"nedits_talk";"density_edit";"density_talk";"ncontributors_edit";"ncontributors_talk";"nadmins_edit";"nadmins_talk";"nbots_edit";"nbots_talk";"nanon_edit";"nanon_talk";"transitivity_edit";"transitivity_talk";"centralization_edit";"centralization_talk";"mean_betweenness_edit";"mean_betweenness_talk";"mean_betweenness_admins_edit";"mean_betweenness_admins_talk";"mean_degree_centrality_edit";"mean_degree_centrality_talk";"mean_degree_centrality_admins_edit";"mean_degree_centrality_admins_talk";"sd_betweenness_edit";"sd_betweenness_talk";"sd_betweenness_admins_edit";"sd_betweenness_admins_talk";"sd_degree_centrality_edit";"sd_degree_centrality_talk";"sd_degree_centrality_admins_edit";"sd_degree_centrality_admins_talk";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured"
"69";"Tony_Blair";"62";"631";"0.0587121212121212";"0.00254943314505507";"33";"498";"11";"34";"0";"0";"6";"161";"0.159926470588235";"0.0233009708737864";"0.455078125";"0.0790983324494249";"0.78125";"842.683168316832";"0.5";"0";"2.875";"3.52145214521452";"2.27272727272727";"1";"1.70358966360315";"2196.25267370527";"1.07238052947636";"0";"2.63659115207986";"5.58190387452383";"1.34839972492648";"0";"30";NA;NA;"0";"0"
"70";"Transsexual";"4597";"670";"0.0365799315668019";"0.00432699138476641";"355";"394";"59";"18";"0";"0";"187";"150";"0.167434306980941";"0.036547700754976";"0.657362188387756";"0.194640301976704";"213.853107344633";"871.479838709677";"15.1899220629523";"0";"24.5875706214689";"4.81451612903226";"17.0847457627119";"1";"1508.81869727535";"2874.9757501903";"97.9513140254818";"0";"50.5575089849301";"12.1893741045415";"37.166581269957";"0";NA;NA;NA;"0";"0"
"71";"Trinity_Broadcasting_Network";"1628";"343";"0.0116078431372549";"0.00651224606037593";"375";"230";"41";"9";"7";"2";"183";"74";"0.074341419854145";"0.0120320855614973";"0.540635991878521";"0.0724051791537156";"201.133689839572";"283.179487179487";"69.5361850173826";"0";"7.60427807486631";"3.92307692307692";"4.39024390243902";"1";"910.595007860498";"454.838388640197";"244.129489038769";"0";"12.5963773203008";"5.25054646807354";"4.63615168421228";"0";NA;NA;NA;"0";"0"
"72";"Twitter";"2556";"424";"0.0103270223752151";"0.00302317290552585";"498";"375";"25";"9";"2";"0";"244";"151";"0.0574449107479788";"0.0158311345646438";"0.465456724248914";"0.0291400955131688";"80.5915492957747";"603.071672354949";"5.89874272170347";"412.555555555556";"9.33601609657948";"2.61433447098976";"8.88";"2.44444444444444";"513.696395032609";"1100.89141573047";"24.5072764937978";"549.650823503229";"20.3308761945581";"2.47827533050173";"19.1688114741977";"1.81046341520004";NA;NA;NA;"0";"0"
"73";"United_Submitters_International";"1422";"277";"0.0375892149088025";"0.00779578971068333";"195";"189";"25";"6";"3";"0";"78";"34";"0.165660324369866";"0.023454157782516";"0.526968859602508";"0.117827636939792";"177.907216494845";"122.355263157895";"67.0618257328694";"0";"13.5360824742268";"5.80263157894737";"7.68";"1";"864.589507914105";"220.436700147525";"153.000271584334";"0";"29.3317850392542";"9.27795916760736";"9.53816893678586";"0";NA;NA;NA;"0";"0"
"74";"Valencianism";"35";"21";"0.318181818181818";"0.1";"11";"15";"3";"0";"1";"0";"2";"0";"0.534883720930233";"0";"0.64";"0.964285714285714";"2.3";"0";"0";"NaN";"5.7";"28";"3";"NaN";"5.05085251330022";NA;"0";NA;"5.41705126839727";NA;"2";NA;NA;"0.571428571428571";"0.925820099772551";"0";"0"
"75";"Video_game_controversies";"457";"253";"0.0342578710644678";"0.0111699779249448";"116";"151";"25";"9";"1";"0";"49";"38";"0.139636363636364";"0.0172413793103448";"0.671531190926276";"0.482022222222222";"81.9217391304348";"235.193548387097";"12.6217673460189";"0";"6.54782608695652";"4.81720430107527";"4.48";"1";"322.365553874512";"500.460320334631";"24.221423647783";"0";"14.7048407581951";"15.5402326633016";"3.52514775104061";"0";NA;NA;NA;"0";"0"
"76";"Windows_Vista";"545";"96";"0.0296840958605665";"0.0122574055158325";"136";"89";"17";"9";"0";"0";"74";"35";"0.0973878282445379";"0.0223880597014925";"0.496186556927298";"0.0393207644628099";"25.9185185185185";"68.5454545454545";"7.88961970532448";"0";"7.02962962962963";"2.56060606060606";"3.94117647058824";"1.11111111111111";"96.816249956877";"78.5139246480289";"18.3011112687022";"0";"10.9319064311771";"1.81556338260893";"3.716022541564";"0.333333333333333";NA;NA;NA;"0";"0"
"77";"World_Trade_Center_site";"18";"486";"0.136363636363636";"0.0042415039011363";"12";"339";"7";"19";"0";"5";"3";"86";"0.24";"0.029616724738676";"0.396694214876033";"0.074380273799937";"0.181818181818182";"463.848484848485";"0.19047619047619";"18.3130915524104";"2.27272727272727";"3.74025974025974";"3.14285714285714";"1.26315789473684";"0.345241827118209";"1042.30707334823";"0.377964473009227";"79.8249154207655";"1.27207775634268";"6.35829331230364";"3.53216512583861";"1.14707866935281";NA;NA;NA;"0";"0"
"78";"Young_Earth_creationism";"5708";"968";"0.0368633833197711";"0.00227360272080722";"394";"653";"51";"18";"2";"5";"199";"195";"0.11555438916519";"0.0267673301304049";"0.765333540521467";"0.0368933249275471";"443.893129770992";"2152.91666666667";"626.809785804498";"0";"27.6259541984733";"4.14460784313725";"55.156862745098";"1";"2569.0877128031";"6001.45937101329";"2090.0168857635";"0";"63.4747663037386";"5.95818107421695";"112.789959224927";"0";NA;"4.28409090909091";"5.38611288369112";"0";"0"
"79";"Zimbabwe";"106899";"320";"0.0101112799808404";"0.00395354583642204";"3252";"285";"260";"19";"19";"0";"1846";"114";"0.055701514310819";"0.0093603744149766";"2.20711616925762";"0.0366680718111486";"2971.0602891418";"345.43119266055";"2366.00998676392";"93.0526315789474";"64.7108581974777";"2.62844036697248";"55.3461538461538";"1.57894736842105";"32863.8642796178";"491.242096729386";"28614.7652005714";"217.716296966746";"287.260644018744";"2.44280535801869";"235.554360071845";"0.837707816583391";NA;NA;NA;"0";"0"
