"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_admins";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"nadded";"ndeleted";"nrestored";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured";"istalk_page"
"1";"2012_phenomenon";"0.0268279485434012";"339";"199";"3074";"0.182267839357159";"19";"0";"0.621454956058962";"0";"4.36842105263158";"156.46017699115";"18.1356932153392";"996.382503994923";"50.7555855238623";"0";"6.36143350647556";"-0.0937380444194716";"112";"62";"51";"87";"26.1457286432161";"7.19148936170213";"3.68421052631579";"0.684210526315789";"11.678391959799";"14.4673366834171";"5.48936170212766";"1.70212765957447";"28.6964285714286";"12.4196428571429";"16.2767857142857";"21.1451612903226";"8.64516129032258";"12.5";"16.2941176470588";"9.96078431372549";"6.33333333333333";"6.96551724137931";"5.45977011494253";"1.50574712643678";"0";"1973";"1101";"64.4307150336249";"12.5374935291911";"6.5239101395384";"1.7013926184468";"36.5971391141513";"40.9655890141343";"10.3047589808161";"8.12381311395145";"73.1141079404158";"40.9846462996051";"47.6770686983311";"46.0494555152637";"24.2670232790513";"32.7888175660094";"45.9274619885084";"29.39725210581";"19.2402356187929";"12.1353301963126";"11.2671622040594";"5.27581926453661";"0";"0";1
"2";"Adolf_Hitler";"0.0144651091017201";"2574";"1642";"95801";"0.153670456559722";"254";"2";"0.735917958155856";"33.960174105928";"33.7165354330709";"2410.6181041181";"74.4374514374514";"22081.8230608758";"178.789394708397";"223.169629908901";"64.8489150320551";"-0.0538412086858703";"646";"459";"604";"719";"97.2503045066992";"35.9301886792453";"20.6141732283465";"13.1023622047244";"46.2174177831912";"51.0328867235079";"23.1169811320755";"12.8132075471698";"90.9938080495356";"44.0526315789474";"46.9411764705882";"92.4466230936819";"44.4727668845316";"47.9738562091503";"83.0496688741722";"43.0099337748344";"40.0397350993377";"50.2739916550765";"26.0917941585535";"24.1821974965229";"0";"51087";"44714";"214.24264255085";"74.4758929670175";"53.5539397463644";"43.0139851594702";"122.20048107834";"160.09362400976";"58.9544174815226";"46.450870595783";"218.918511529479";"136.497154529369";"140.692516259135";"168.802922752653";"111.589570907593";"121.405647285203";"166.182203897095";"103.465314049069";"119.950411578038";"166.922926118997";"65.4667401743865";"149.337642213187";"0";"0";1
"3";"Agnosticism";"0.0455767077267637";"95";"34";"407";"0.313737623762376";"17";"1";"0.620529651425985";"4.19291100949022";"5";"33.1789473684211";"8.56842105263158";"81.4205955201615";"18.9729104933003";"11.896310310364";"8.76070773396762";"0.293393191374954";"14";"7";"19";"39";"13.9117647058824";"7.37037037037037";"1.64705882352941";"3.35294117647059";"7.52941176470588";"6.38235294117647";"3.37037037037037";"4";"10.4285714285714";"6.07142857142857";"4.35714285714286";"7";"4.14285714285714";"2.85714285714286";"16.7368421052632";"8.63157894736842";"8.10526315789474";"6.30769230769231";"2.48717948717949";"3.82051282051282";"0";"325";"82";"28.8657998824223";"11.2220529732519";"2.05976869061153";"8.57278525677761";"14.6064230249191";"14.926110345749";"5.58946913777733";"9.7388990058504";"20.7056821844941";"13.0588271691208";"7.89943661922158";"8.92561855933059";"5.33630869386231";"3.67099311851582";"34.9425593816531";"16.6239804242606";"18.9029531403667";"9.87595124306847";"3.78967985643972";"9.65421041191163";"0";"0";1
"4";"Allergy";"0.0105805681051046";"393";"188";"1630";"0.0664150547780049";"40";"3";"0.280950645564348";"0.025";"5.675";"161.783715012723";"8.29516539440204";"1273.06914541067";"22.0832007910812";"0.158113883008419";"13.9677054261534";"-0.228127435719084";"61";"68";"99";"135";"12.3510638297872";"3.42424242424242";"3.275";"2.4";"5.13297872340426";"7.21808510638298";"3.09090909090909";"0.333333333333333";"11.2622950819672";"4.32786885245902";"6.9344262295082";"8.91176470588235";"3.48529411764706";"5.42647058823529";"9.84848484848485";"4.67676767676768";"5.17171717171717";"6.33333333333333";"4.06666666666667";"2.26666666666667";"0";"1069";"561";"29.8390360723755";"4.21578497235666";"4.25463548108684";"13.8929976828395";"12.3113954282169";"25.2188345825882";"4.15437697160559";"0.748195454182283";"24.3172789317557";"5.99922581526264";"23.5908660660993";"27.6808761476587";"4.6375902358645";"27.7436646937803";"23.3685483888781";"9.96916499361732";"18.4822255507";"19.0066759677563";"11.6901540405821";"11.7029145495993";"0";"0";1
"5";"American_Airlines_Flight_77";"0.0106868088323153";"702";"356";"5259";"0.116934713915256";"74";"7";"0.686439384535237";"23.6955983582818";"10.027027027027";"475.078347578348";"14.982905982906";"4204.42999056623";"52.4096096380559";"126.902563847524";"22.7974842237201";"0.0419090371077136";"139";"105";"140";"259";"23.9073033707865";"4.69902912621359";"6.48648648648649";"3.54054054054054";"11.0308988764045";"12.876404494382";"3.27184466019417";"1.42718446601942";"20.9712230215827";"9.03597122302158";"11.9352517985612";"30.3238095238095";"15.1619047619048";"15.1619047619048";"17.7285714285714";"8.24285714285714";"9.48571428571429";"6.45945945945946";"4.23552123552124";"2.22393822393822";"0";"3434";"1825";"71.5166865392461";"6.81080196768706";"16.8874138455308";"16.6397684958122";"35.680691117555";"42.1530598624622";"6.29005281261675";"3.18564445139195";"46.6277180807823";"18.5766762256699";"35.2802873548662";"105.338328114525";"56.6560343397438";"54.3714298225859";"51.0623603589426";"22.3032956975477";"33.2735524231037";"13.915348216475";"10.6811855895941";"9.36325731415369";"0";"0";1
"6";"Anthropology";"0.0229408512990603";"135";"67";"415";"0.150319210679048";"21";"1";"0.326492537313433";"0";"2.33333333333333";"87.8888888888889";"6.14814814814815";"503.555599458227";"12.730571101679";"0";"1.15470053837925";"-0.209298130564892";"42";"10";"16";"51";"8.73134328358209";"3.66666666666667";"2.0952380952381";"0.238095238095238";"3.92537313432836";"4.80597014925373";"2.43333333333333";"1.23333333333333";"8.21428571428571";"2.83333333333333";"5.38095238095238";"5.1";"2.6";"2.5";"10.5625";"4.875";"5.6875";"3.70588235294118";"3.27450980392157";"0.431372549019608";"0";"299";"116";"16.685669853838";"5.08773598678866";"1.33808676492827";"0.538958431120797";"8.68874826713091";"10.7509531726404";"3.68298354817015";"4.17449838682556";"16.2653840338934";"7.61550621819388";"11.8752712543138";"4.30632609592498";"3.47051068928543";"3.77859468291821";"21.3415674213493";"10.2493902257647";"11.5222610628296";"5.38996889655983";"5.32945937735733";"0.728145643694565";"0";"0";1
"7";"Ashton_Kutcher";"0.0334134615384615";"65";"22";"139";"0.151193633952255";"14";"1";"0.1802978515625";"2.32142857142857";"2.78571428571429";"3.32307692307692";"4.27692307692308";"11.5561310132642";"5.61389930303487";"8.54311946012053";"3.68319617532573";"-0.242361064990468";"7";"7";"10";"36";"6.81818181818182";"3.26086956521739";"1.35714285714286";"1.42857142857143";"2.95454545454545";"3.86363636363636";"2.26086956521739";"1";"4.71428571428571";"3";"1.71428571428571";"10.7142857142857";"5.42857142857143";"5.28571428571429";"5.4";"1.2";"4.2";"2.97222222222222";"1.80555555555556";"1.16666666666667";"0";"108";"31";"7.81108103997052";"3.8637874883255";"1.44686094473747";"3.39035477413581";"3.98183103044044";"7.54854419610295";"3.65833284563969";"1.08711461300922";"5.15474815790535";"4.16333199893227";"1.25356634105602";"9.87782509317859";"6.29436633975555";"9.65598753303334";"7.67680489092522";"1.47572957474524";"8.0938934457473";"3.13036840470996";"2.55028787668535";"2.24880920870199";"0";"0";1
"8";"Augusto_Pinochet";"0.0399798481413509";"472";"253";"8888";"0.204943614950466";"63";"0";"1.35567365816057";"16.962240688743";"10.8253968253968";"430.930084745763";"37.6610169491525";"3758.33641985752";"114.626002788686";"71.3129869023355";"23.7592356796662";"-0.0104751349501569";"102";"83";"76";"171";"52.1660079051383";"29.6724137931034";"6.17460317460317";"4.65079365079365";"25.7628458498024";"26.403162055336";"14.4396551724138";"15.2327586206897";"63.0294117647059";"32.3529411764706";"30.6764705882353";"44.710843373494";"24.6987951807229";"20.0120481927711";"53.1052631578947";"23.8815789473684";"29.2236842105263";"18.3976608187135";"8.28654970760234";"10.1111111111111";"0";"5402";"3486";"140.320254843402";"95.4460262558687";"11.4081743224868";"22.016971994613";"63.21021148765";"99.793017487037";"49.9861352590989";"55.0274805274002";"176.014707749679";"91.3662683448538";"106.705030805961";"72.0737309001373";"37.1994410329625";"49.0055979818492";"170.138655529139";"59.9261694877429";"133.610538375206";"40.0751469898833";"18.5305723641528";"33.877017099823";"0";"0";1
"9";"Axl_Rose";"0.00794045252295749";"504";"342";"2013";"0.160114777618364";"40";"0";"0.163357825215704";"4.05";"3.4";"270.892857142857";"7.98809523809524";"1467.96947370478";"17.2384705799339";"25.6144490473639";"3.48476537855703";"-0.0436032345191274";"154";"88";"106";"133";"10.1754385964912";"3.19191919191919";"3.275";"0.125";"4.33040935672515";"5.84502923976608";"3.1010101010101";"0.0909090909090909";"10.0974025974026";"4.2012987012987";"5.8961038961039";"7.28409090909091";"4.07954545454545";"3.20454545454545";"9.50943396226415";"4.52830188679245";"4.9811320754717";"5.47368421052632";"3.25563909774436";"2.21804511278195";"0";"1413";"600";"20.4262117903979";"3.37964123104011";"3.558936026543";"0.40430377003132";"13.2363650580225";"14.9427830097137";"3.4031646421426";"0.640326910941353";"18.8283507136187";"14.0978744377239";"12.0049928780573";"11.8796153655335";"8.7955338600319";"4.16377119875856";"24.6457744018529";"14.5538131460092";"19.2324037732332";"11.1847968698915";"3.91317536592987";"10.9871401039859";"0";"0";1
"10";"Balto-Slavic_languages";"0.0351351351351351";"75";"27";"195";"0.203947368421053";"9";"0";"0.45745069393718";"30.1944444444444";"2.66666666666667";"39.28";"5.2";"145.71215953487";"9.46258635577719";"66.1085492033956";"3.16227766016838";"-0.12940024572903";"7";"10";"13";"38";"10.1481481481481";"2.375";"0.666666666666667";"2";"5.40740740740741";"4.74074074074074";"1.15625";"1.21875";"10.2857142857143";"5.14285714285714";"5.14285714285714";"7.2";"4.3";"2.9";"10.4615384615385";"5.46153846153846";"5";"2.47368421052632";"1.02631578947368";"1.44736842105263";"0";"181";"14";"14.4294136127556";"1.68005376258062";"0.707106781186548";"2.73861278752583";"8.00124634166097";"6.82525058763747";"1.48344357449472";"1.45323609963774";"10.7968249301092";"6.89029683512913";"4.22013315068658";"7.11492953037641";"5.10010893129854";"2.76686746259295";"19.0858384874553";"9.93827101508259";"9.36304793679209";"2.11477226561624";"1.38499374777129";"1.8409364306457";"0";"0";1
